,0,1
755,JCM 20254,"['J69', 'J72']"
756,JCM 20100,"['J2', 'J13', 'J84']"
757,JCM 9281,"['J25', 'J30']"
758,JCM 12773,['J446']
759,JCM 20567,['J12']
760,JCM 9747,"['J30', 'J148']"
761,JCM 20474,['J66']
762,JCM 2869,"['J22', 'J58', 'J66']"
763,JCM 2905,"['J25', 'J30']"
764,JCM 11986,"['J30', 'J148']"
765,JCM 2645,['J12']
766,JCM 11293,"['J25', 'J30']"
767,JCM 20910,['J75']
768,JCM 10178,['J118']
769,JCM 14672,"['J28', 'J57']"
770,JCM 7522,['J28']
771,JCM 1856,"['J30', 'J31', 'J346', 'J386']"
772,JCM 1987,"['J22', 'J30', 'J346', 'J681']"
773,JCM 28056,['J30']
774,JCM 2030,"['J12', 'J13', 'J22', 'J27', 'J68', 'J70', 'J84']"
775,JCM 7906,['J141']
776,JCM 9451,"['J25', 'J30']"
777,JCM 12880,"['J25', 'J30']"
778,JCM 28756,['J30']
